Altium Designer Pick and Place Locations
C:\_ALTIUM\ALTIUM_PROJ\MOTOR_DRIVER\Project Outputs for MOTOR_DRIVER\Generates pick and place files\Pick Place for MotorDriver_Rev3.csv

========================================================================================================================
File Design Information:

Date:       16/04/24
Time:       13:40
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"P4","Header 6","TopLayer","HDR1X6","40.4280","40.2770","270","Header, 6-Pin"
"H1","WV-T247-101E","TopLayer","WVT247101E","8.9877","39.1393","360","Undefined or Miscellaneous"
"J2","VP026584000AG","TopLayer","ML-VP026584000AG","143.4129","93.6201","90","Connector"
"R19","15R","TopLayer","RES-0805","71.7140","78.8670","360",""
"C1","NU","BottomLayer","CAP-1206","59.7989","78.3760","270",""
"C2","NU","BottomLayer","CAP-1206","97.4698","78.8016","360",""
"C3","NU","BottomLayer","CAP-1206","22.8600","87.0880","90",""
"C5","10u","TopLayer","CAP-0805","66.6750","77.8510","90",""
"C7","10u","TopLayer","CAP-0805","103.7590","78.7400","90",""
"C9","10u","TopLayer","CAP-0805","29.0830","76.0730","90",""
"C10","100n","TopLayer","CAP-0603","66.5350","76.0730","90",""
"C11","100n","TopLayer","CAP-0603","103.6300","77.0740","90",""
"C12","100n","TopLayer","CAP-0603","28.8420","74.4220","90",""
"C13","NU","TopLayer","CAP-0603","56.7645","79.3279","360",""
"C14","NU","TopLayer","CAP-0603","91.9435","78.4521","360",""
"C15","NU","BottomLayer","CAP-0603","16.6500","80.1370","270",""
"C22","10u","TopLayer","CAP-0805","112.7219","75.6124","360",""
"C19","10u","TopLayer","CAP-0805","36.7539","74.8429","90",""
"C25","100n","TopLayer","CAP-0603","73.2817","73.9681","180",""
"C27","100n","TopLayer","CAP-0603","111.2587","75.7315","180",""
"C29","100n","TopLayer","CAP-0603","35.9272","72.4142","180",""
"C26","NU","TopLayer","CAP-0603","76.2716","77.6143","360",""
"C30","NU","TopLayer","CAP-0603","34.8224","79.3751","360",""
"CS2","ACS37010LLZATR-050B3","TopLayer","ACS37010LLZATR050B5","121.5204","72.3746","360","Integrated Circuit"
"D7","PMEG6010","TopLayer","PMEG6010CEGWQJ","59.6852","80.0203","180","Schottky Diode"
"D6","IDH08G65C6","TopLayer","TO508P450X1000X2005-2P","42.9260","96.9772","180","Schottky Diode"
"D11","PMEG6010","TopLayer","PMEG6010CEGWQJ","108.2127","79.4438","180","Schottky Diode"
"D12","PMEG6010","TopLayer","PMEG6010CEGWQJ","30.1642","79.6319","360","Schottky Diode"
"R4","NU","BottomLayer","RES-1206","63.1151","78.1107","270",""
"R5","NU","BottomLayer","RES-1206","101.8707","79.9136","180",""
"R6","NU","BottomLayer","RES-1206","24.1250","90.4240","180",""
"R11","10R","TopLayer","RES-0805","96.0295","77.3554","0",""
"R12","10R","TopLayer","RES-0805","20.2320","75.9460","360",""
"R13","15R","TopLayer","RES-0805","59.2186","77.1393","270",""
"R14","10K","TopLayer","RES-0805","55.2222","79.0489","90",""
"R18","15R","TopLayer","RES-0805","96.0436","79.8420","360",""
"R16","15R","TopLayer","RES-0805","20.2340","78.2320","0",""
"R15","10K","TopLayer","RES-0805","90.5316","78.6145","90",""
"R17","10K","BottomLayer","RES-0805","16.7014","78.5939","180",""
"R25","NU","BottomLayer","RES-1206","84.4725","79.3379","180",""
"R20","15R","TopLayer","RES-0805","108.3928","81.2789","180",""
"R21","15R","TopLayer","RES-0805","33.3441","79.1617","90",""
"R28","10R","TopLayer","RES-0805","71.7301","76.9245","180",""
"R29","10R","TopLayer","RES-0805","108.7530","77.5970","180",""
"R30","10R","TopLayer","RES-0805","30.4077","77.8766","360",""
"R35","10K","TopLayer","RES-0805","77.6364","77.8143","90",""
"R36","10K","TopLayer","RES-0805","112.7572","79.2619","90",""
"R37","10K","TopLayer","RES-0805","38.2145","79.6257","90",""
"Z1","PDZ16BGWX","TopLayer","SOD123","53.3406","78.2872","270","Zener Diode"
"Z2","PDZ16BGWX","TopLayer","SOD123","88.7093","79.1022","270","Zener Diode"
"Z3","PDZ16BGWX","BottomLayer","SOD123","17.5479","76.6998","360","Zener Diode"
"Z4","PDZ16BGWX","TopLayer","SOD123","79.6413","78.4366","270","Zener Diode"
"Z5","PDZ16BGWX","TopLayer","SOD123","114.5868","79.9290","270","Zener Diode"
"Z6","PDZ16BGWX","TopLayer","SOD123","36.4010","78.9823","270","Zener Diode"
"C18","NU","BottomLayer","CAP-1206","40.3413","91.0239","360",""
"C16","NU","BottomLayer","CAP-1206","80.2292","79.1901","360",""
"C17","NU","BottomLayer","CAP-1206","129.1600","81.3631","90",""
"J1","VP026584000AG","TopLayer","ML-VP026584000AG","12.0480","62.8870","270","Connector"
"L1","PA4344.102NLT","TopLayer","PA4344102NLT","119.1260","10.1600","270","INDUCTOR"
"R26","NU","BottomLayer","RES-1206","126.1580","82.8692","360",""
"C46","390uF/100V","TopLayer","CAP-ELEC-D16mm-L25mm-d7.5mm","108.2040","46.6220","90","PANASONIC EEU-FS2A391"
"C36","1u","TopLayer","CAP-0603","47.1300","45.9740","270",""
"C47","100n","TopLayer","CAP-0603","54.2160","17.1450","270",""
"C40","1u","TopLayer","CAP-0603","47.8660","34.9250","270",""
"C35","100n","TopLayer","CAP-0603","47.7520","33.5280","270",""
"C52","100n","TopLayer","CAP-0603","59.0420","33.7820","90",""
"C64","100n","TopLayer","CAP-0603","7.5750","18.0970","180",""
"C51","1u","TopLayer","CAP-0603","59.0420","35.1790","90",""
"C62","100n","TopLayer","CAP-0603","59.9310","46.8630","90",""
"C61","1u","TopLayer","CAP-0603","59.9570","45.5930","90",""
"U14","TPS560430X3FDBVR","TopLayer","SOT95P280X145-6N","53.7510","19.5300","360","Integrated Circuit"
"L2","SRN5020TA-120M","TopLayer","INDPM5050X200N","59.3010","20.3800","180","INDUCTOR"
"L3","MCQ1V3216-R820-R","TopLayer","RES-1206","69.4690","21.0870","270","INDUCTOR"
"R34","1K","TopLayer","RES-0805","18.9230","39.9190","270",""
"R38","10K","TopLayer","RES-0805","18.9230","43.3480","270",""
"R45","33K","TopLayer","RES-0805","89.1950","10.5410","360",""
"R51","33K","TopLayer","RES-0805","85.6390","10.4140","360",""
"R22","100R","TopLayer","RES-0805","101.0920","63.3730","360",""
"R44","10K","TopLayer","RES-0805","109.3576","64.6012","270",""
"R49","18K","TopLayer","RES-0805","112.9136","60.8772","180",""
"R50","20K","TopLayer","RES-0805","110.1196","59.5662","90",""
"R54","13K","TopLayer","RES-0805","115.9616","55.8832","270",""
"R53","15K","TopLayer","RES-0805","113.9276","58.4642","90",""
"R63","0R","TopLayer","RES-2512","91.2465","72.0375","270",""
"R89","NU","TopLayer","RES-0805","21.4630","16.2970","270",""
"U11","ADR5043ARTZ-REEL7","TopLayer","LM4040_SOT23","64.6090","29.1490","180","Precision Micropower Shunt Voltage Reference, 3-pin SOT-23"
"C48","1n","TopLayer","CAP-0603","56.3880","31.2550","360",""
"C53","1n","TopLayer","CAP-0603","54.4830","31.6230","0",""
"C59","100n","TopLayer","CAP-0603","64.5280","42.9420","360",""
"C65","10u","TopLayer","CAP-0805","66.0400","26.6700","90",""
"C66","100n","TopLayer","CAP-0603","62.6110","42.6720","270",""
"C68","100n","TopLayer","CAP-0603","62.6110","43.9420","270",""
"C67","100n","TopLayer","CAP-0805","53.7170","22.1800","90",""
"C70","10u","TopLayer","CAP-0805","64.3532","19.1458","180",""
"C71","100n","TopLayer","CAP-0603","69.1010","23.8760","270",""
"C73","10u","TopLayer","CAP-0805","66.3690","19.2024","180",""
"C76","1u","TopLayer","CAP-0603","69.1010","25.2730","270",""
"C77","10u","TopLayer","CAP-0805","53.9750","15.2400","270",""
"R39","10K","TopLayer","RES-0805","20.5740","23.4540","270",""
"R41","10K","TopLayer","RES-0805","25.9080","17.3130","90",""
"R56","10K","TopLayer","RES-0805","44.5770","33.0200","180",""
"R57","NU","TopLayer","RES-0805","50.4190","50.2510","270",""
"R58","100R","TopLayer","RES-0805","50.2412","55.3368","270",""
"R59","NU","TopLayer","RES-0805","53.0860","50.0380","270",""
"R60","100R","TopLayer","RES-0805","55.3720","53.8070","270",""
"R61","100R","TopLayer","RES-0805","57.6580","54.9050","270",""
"R62","100R","TopLayer","RES-0805","52.9590","53.7620","90",""
"R65","1K","TopLayer","RES-0805","59.9440","29.1690","90",""
"R67","100R","TopLayer","RES-0805","45.8187","59.3090","360",""
"R68","100R","TopLayer","RES-0805","45.2243","61.6433","360",""
"R69","100R","TopLayer","RES-0805","59.4360","50.5460","180",""
"R72","1K","TopLayer","RES-0805","72.5170","42.2910","270",""
"R74","10R","TopLayer","RES-0805","9.0580","23.3680","180",""
"R75","3K","TopLayer","RES-0805","71.1200","28.8290","270",""
"R79","10R","TopLayer","RES-0805","5.6700","17.1040","270",""
"R78","100R","TopLayer","RES-0805","44.6280","66.9920","90",""
"R87","100R","TopLayer","RES-0805","73.6600","50.2920","270",""
"R77","1K","TopLayer","RES-0805","68.8750","43.4340","180",""
"R105","22K1","TopLayer","RES-0805","50.2920","19.3900","270",""
"R109","51K","TopLayer","RES-0805","57.2770","15.4530","270",""
"R106","0R","TopLayer","RES-0805","64.7700","23.5810","270",""
"Q9","MMBT4401","TopLayer","SOT95P240X110-3N","33.0860","52.2170","270","NPN Bipolar Transistor"
"R90","470R","TopLayer","RES-0805","31.0312","47.4472","270",""
"U13","LTV-817S-D","TopLayer","LTV817SD","24.3840","49.6570","90","4-Pin Phototransistor Optocoupler"
"C4","470n","TopLayer","CAP-0603","61.2010","68.5800","270",""
"C8","470n","TopLayer","CAP-0603","25.3280","64.3420","360",""
"C6","470n","TopLayer","CAP-0603","97.9530","69.5670","270",""
"Q8","MMBT4401","TopLayer","SOT95P240X110-3N","68.4530","60.0710","360","NPN Bipolar Transistor"
"R1","30K","TopLayer","RES-0805","66.6089","65.9228","270",""
"R2","30K","TopLayer","RES-0805","103.7590","66.2530","270",""
"R3","30K","TopLayer","RES-0805","29.0280","63.6920","270",""
"R9","30K","TopLayer","RES-0805","106.7210","66.8040","360",""
"R10","30K","TopLayer","RES-0805","31.1150","63.5860","270",""
"R98","2K","TopLayer","RES-0805","34.9660","57.2770","360",""
"R70","2K","TopLayer","RES-0805","62.9920","59.9030","270",""
"R23","100R","TopLayer","RES-0805","101.7270","66.2530","270",""
"R108","1K","TopLayer","RES-0805","33.0610","55.2450","360",""
"R71","1K","TopLayer","RES-0805","65.2780","60.0300","90",""
"D14","BAS70-04-E3-08","TopLayer","SOT95P248X115-3N","24.4680","13.0150","360",""
"D13","BAS70-04-E3-08","TopLayer","SOT95P248X115-3N","18.4580","12.7000","360",""
"J5","TB004-508-12BE","TopLayer","TB00450812BE","38.8420","5.9610","180","Connector"
"R8","10R","TopLayer","RES-0805","61.8439","77.1049","270",""
"C21","100n","TopLayer","CAP-0603","47.0280","68.7920","180",""
"C23","100n","TopLayer","CAP-0603","86.9950","68.3920","180",""
"C24","100n","TopLayer","CAP-0603","122.1601","67.7028","90",""
"C34","100n","BottomLayer","CAP-0603","58.2417","89.7289","270",""
"C43","NU","TopLayer","CAP-0603","50.9140","33.6550","90",""
"C44","1n","TopLayer","CAP-0603","53.0860","31.3690","0",""
"C74","1n","TopLayer","CAP-0603","61.8490","37.8460","90",""
"C72","1n","TopLayer","CAP-0603","62.0900","39.6240","90",""
"C69","1n","TopLayer","CAP-0603","62.4280","40.8113","90",""
"P5","Header 5","TopLayer","HDR1X5","68.7070","35.1790","90","Header, 5-Pin"
"R76","100R","TopLayer","RES-0805","17.6120","21.0820","180",""
"R80","10R","TopLayer","RES-0805","23.9620","20.9550","180",""
"R46","100R","TopLayer","RES-0805","46.6090","14.1830","90",""
"R48","100R","TopLayer","RES-0805","43.3070","14.1380","90",""
"R101","1K","TopLayer","RES-0805","65.4460","37.3380","180",""
"R99","1K","TopLayer","RES-0805","65.4530","40.3670","180",""
"R97","1K","TopLayer","RES-0805","49.0010","25.7800","360",""
"TS1","TMP235A4DBZR","BottomLayer","SOT95P237X112-3N","58.0548","92.1125","360","+/-2.5C Analog output temperature sensor, with 10mV /C gain"
"R31","100R","TopLayer","RES-0805","71.6280","61.0460","270",""
"R32","100R","TopLayer","RES-0805","74.3810","60.0710","180",""
"R33","100R","TopLayer","RES-0805","63.3320","62.4840","0",""
"R40","750R","TopLayer","RES-0805","46.4820","54.5690","270",""
"R42","750R","TopLayer","RES-0805","46.1420","51.5620","0",""
"R107","NU","TopLayer","RES-0805","52.3650","25.7810","360",""
"P3","Header 2","TopLayer","HDR1X2","40.8940","52.0700","180","Header, 2-Pin"
"P2","Header 2","TopLayer","HDR1X2","40.8940","55.1180","180","Header, 2-Pin"
